date,model,module,multiplier,base_lsi,perturbed_lsi,delta_lsi
2014-12-10,global,M1,0.8,63.08,63.08,0.0
2014-12-10,global,M1,1.2,63.08,63.25,0.17
2014-12-10,global,M2,0.8,63.08,63.08,0.0
2014-12-10,global,M2,1.2,63.08,63.08,0.0
2014-12-10,global,M3,0.8,63.08,63.08,0.0
2014-12-10,global,M3,1.2,63.08,63.08,0.0
2014-12-10,global,M4,0.8,63.08,63.38,0.3
2014-12-10,global,M4,1.2,63.08,65.23,2.15
2014-12-10,global,M5,0.8,63.08,62.86,-0.22
2014-12-10,global,M5,1.2,63.08,63.5,0.42
2014-12-10,local,M1,0.8,63.08,63.08,0.0
2014-12-10,local,M1,1.2,63.08,63.25,0.17
2014-12-10,local,M2,0.8,63.08,63.08,0.0
2014-12-10,local,M2,1.2,63.08,63.08,0.0
2014-12-10,local,M3,0.8,63.08,63.08,0.0
2014-12-10,local,M3,1.2,63.08,63.08,0.0
2014-12-10,local,M4,0.8,63.08,63.38,0.3
2014-12-10,local,M4,1.2,63.08,65.23,2.15
2014-12-10,local,M5,0.8,63.08,62.86,-0.22
2014-12-10,local,M5,1.2,63.08,63.5,0.42
2022-02-09,global,M1,0.8,100.0,100.0,0.0
2022-02-09,global,M1,1.2,100.0,100.0,0.0
2022-02-09,global,M2,0.8,100.0,100.0,0.0
2022-02-09,global,M2,1.2,100.0,100.0,0.0
2022-02-09,global,M3,0.8,100.0,99.61,-0.39
2022-02-09,global,M3,1.2,100.0,100.0,0.0
2022-02-09,global,M4,0.8,100.0,100.0,0.0
2022-02-09,global,M4,1.2,100.0,100.0,0.0
2022-02-09,global,M5,0.8,100.0,100.0,0.0
2022-02-09,global,M5,1.2,100.0,100.0,0.0
2022-03-02,local,M1,0.8,100.0,99.5,-0.5
2022-03-02,local,M1,1.2,100.0,100.0,0.0
2022-03-02,local,M2,0.8,100.0,100.0,0.0
2022-03-02,local,M2,1.2,100.0,100.0,0.0
2022-03-02,local,M3,0.8,100.0,100.0,0.0
2022-03-02,local,M3,1.2,100.0,100.0,0.0
2022-03-02,local,M4,0.8,100.0,100.0,0.0
2022-03-02,local,M4,1.2,100.0,100.0,0.0
2022-03-02,local,M5,0.8,100.0,99.01,-0.99
2022-03-02,local,M5,1.2,100.0,100.0,0.0
2023-08-03,global,M1,0.8,64.98,64.81,-0.17
2023-08-03,global,M1,1.2,64.98,65.11,0.13
2023-08-03,global,M2,0.8,64.98,64.98,0.0
2023-08-03,global,M2,1.2,64.98,64.98,0.0
2023-08-03,global,M3,0.8,64.98,64.98,0.0
2023-08-03,global,M3,1.2,64.98,64.98,0.0
2023-08-03,global,M4,0.8,64.98,66.76,1.78
2023-08-03,global,M4,1.2,64.98,63.87,-1.11
2023-08-03,global,M5,0.8,64.98,64.52,-0.46
2023-08-03,global,M5,1.2,64.98,65.3,0.32
2023-08-01,local,M1,0.8,100.0,100.0,0.0
2023-08-01,local,M1,1.2,100.0,100.0,0.0
2023-08-01,local,M2,0.8,100.0,100.0,0.0
2023-08-01,local,M2,1.2,100.0,100.0,0.0
2023-08-01,local,M3,0.8,100.0,100.0,0.0
2023-08-01,local,M3,1.2,100.0,100.0,0.0
2023-08-01,local,M4,0.8,100.0,100.0,0.0
2023-08-01,local,M4,1.2,100.0,100.0,0.0
2023-08-01,local,M5,0.8,100.0,100.0,0.0
2023-08-01,local,M5,1.2,100.0,100.0,0.0
