threshold_green,threshold_red,episode,period_days,global_max_lsi,local_max_lsi,global_yellow_days,global_red_days,local_yellow_days,local_red_days,global_fp_rate_pct,local_fp_rate_pct,local_fp_note
30,55,Декабрь 2014,23,63.08,63.08,23.0,9.0,23.0,9.0,,,
30,55,Февраль-март 2022,41,100.0,100.0,41.0,41.0,37.0,25.0,,,
30,55,Август 2023,23,64.98,100.0,23.0,11.0,23.0,23.0,,,
30,55,non_stress_fp,2990,,,,,,,17.56,55.56,рассчитан на 261 строках (только даты с доступным LSI Local)
30,60,Декабрь 2014,23,63.08,63.08,23.0,1.0,23.0,1.0,,,
30,60,Февраль-март 2022,41,100.0,100.0,41.0,41.0,37.0,23.0,,,
30,60,Август 2023,23,64.98,100.0,23.0,2.0,23.0,23.0,,,
30,60,non_stress_fp,2990,,,,,,,10.5,47.13,рассчитан на 261 строках (только даты с доступным LSI Local)
35,60,Декабрь 2014,23,63.08,63.08,21.0,1.0,21.0,1.0,,,
35,60,Февраль-март 2022,41,100.0,100.0,41.0,41.0,35.0,23.0,,,
35,60,Август 2023,23,64.98,100.0,23.0,2.0,23.0,23.0,,,
35,60,non_stress_fp,2990,,,,,,,10.5,47.13,рассчитан на 261 строках (только даты с доступным LSI Local)
35,65,Декабрь 2014,23,63.08,63.08,21.0,0.0,21.0,0.0,,,
35,65,Февраль-март 2022,41,100.0,100.0,41.0,41.0,35.0,23.0,,,
35,65,Август 2023,23,64.98,100.0,23.0,0.0,23.0,23.0,,,
35,65,non_stress_fp,2990,,,,,,,6.09,42.91,рассчитан на 261 строках (только даты с доступным LSI Local)
40,65,Декабрь 2014,23,63.08,63.08,19.0,0.0,19.0,0.0,,,
40,65,Февраль-март 2022,41,100.0,100.0,41.0,41.0,35.0,23.0,,,
40,65,Август 2023,23,64.98,100.0,23.0,0.0,23.0,23.0,,,
40,65,non_stress_fp,2990,,,,,,,6.09,42.91,рассчитан на 261 строках (только даты с доступным LSI Local)
40,70,Декабрь 2014,23,63.08,63.08,19.0,0.0,19.0,0.0,,,
40,70,Февраль-март 2022,41,100.0,100.0,41.0,41.0,35.0,21.0,,,
40,70,Август 2023,23,64.98,100.0,23.0,0.0,23.0,23.0,,,
40,70,non_stress_fp,2990,,,,,,,3.95,35.63,рассчитан на 261 строках (только даты с доступным LSI Local)
45,75,Декабрь 2014,23,63.08,63.08,15.0,0.0,15.0,0.0,,,
45,75,Февраль-март 2022,41,100.0,100.0,41.0,41.0,33.0,18.0,,,
45,75,Август 2023,23,64.98,100.0,23.0,0.0,23.0,23.0,,,
45,75,non_stress_fp,2990,,,,,,,2.78,28.35,рассчитан на 261 строках (только даты с доступным LSI Local)
50,80,Декабрь 2014,23,63.08,63.08,10.0,0.0,10.0,0.0,,,
50,80,Февраль-март 2022,41,100.0,100.0,41.0,41.0,31.0,18.0,,,
50,80,Август 2023,23,64.98,100.0,23.0,0.0,23.0,23.0,,,
50,80,non_stress_fp,2990,,,,,,,2.04,20.69,рассчитан на 261 строках (только даты с доступным LSI Local)
