threshold_green,threshold_red,model,event_recall_yellow_pct,event_recall_red_pct,lead_time_yellow_days,lead_time_red_days,false_red_alerts_per_year,false_red_days,non_stress_days_available,lead_time_note
30,55,global,100.0,100.0,25.5,22.0,42.82,525,2990,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
30,55,local,100.0,100.0,,,144.7,145,261,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
30,60,global,100.0,100.0,25.5,22.0,25.61,314,2990,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
30,60,local,100.0,100.0,,,122.75,123,261,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
35,60,global,100.0,100.0,25.5,22.0,25.61,314,2990,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
35,60,local,100.0,100.0,,,122.75,123,261,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
35,65,global,100.0,33.33,25.5,,14.84,182,2990,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
35,65,local,100.0,66.67,,,111.77,112,261,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
40,65,global,100.0,33.33,24.5,,14.84,182,2990,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
40,65,local,100.0,66.67,,,111.77,112,261,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
40,70,global,100.0,33.33,24.5,,9.62,118,2990,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
40,70,local,100.0,66.67,,,92.81,93,261,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
45,75,global,100.0,33.33,17.5,,6.77,83,2990,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
45,75,local,100.0,66.67,,,73.85,74,261,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
50,80,global,100.0,33.33,17.0,,4.98,61,2990,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
50,80,local,100.0,66.67,,,53.89,54,261,lead time считается по lsi_scores в окне 30 дней до начала стресс-эпизода
